Word,Valence Mean,Arousal Mean,Dominance Mean,Happiness Mean,Anger Mean,Sadness Mean,Fear Mean,Disgust Mean
abduction,2.76,5.53,3.49,1.13,3.53,3.73,3.6,3.19
abortion,3.5,5.39,4.59,1.29,2.58,3.4,2.42,2.97
absurd,4.26,4.36,4.73,1.52,1.87,1.35,1.48,1.48
abundance,6.59,5.51,5.8,3.06,1.19,1.16,1.16,1.32
abuse,1.8,6.83,3.69,1.07,3.77,3.7,3.13,3.6
acceptance,7.98,5.4,6.64,3.39,1.19,1.58,1.71,1.32
accident,2.05,6.26,3.76,1.1,2.41,3.1,3.24,1.9
ace,6.88,5.5,6.39,3.32,1.25,1.04,1.46,1.11
ache,2.46,5,3.54,1.2,2.28,2.23,2.1,1.86
achievement,7.89,5.53,6.56,4.25,1.04,1.04,1.36,1.14
activate,5.46,4.86,5.43,1.94,1.42,1.26,1.45,1.32
addict,2.48,5.66,3.72,1.23,2.19,2.81,2.29,2.71
addicted,2.51,4.81,3.46,1.32,2.42,2.65,2.65,2.65
admired,7.74,6.11,7.53,3.41,1.34,1.24,1.62,1.38
adorable,7.81,5.12,5.74,3.68,1.11,1.11,1.14,1.11
adult,6.49,4.76,5.75,2.21,1.21,1.32,1.71,1.07
advantage,6.95,4.76,6.36,3.29,1.43,1.14,1.21,1.21
adventure,7.6,6.98,6.46,3.79,1.04,1.04,2,1
affection,8.39,6.21,6.08,3.97,1.33,1.43,1.37,1.17
afraid,2,6.67,3.98,1.23,2.27,2.7,4.2,1.7
aggressive,5.1,5.83,5.59,1.94,3.08,1.4,2.32,1.65
agility,6.46,4.85,5.87,3.1,1.28,1,1.1,1.1
agony,2.43,6.06,4.02,1.1,2.39,3,2.48,1.68
agreement,7.08,5.02,6.22,3.06,1.32,1.39,1.19,1.23
air,6.34,4.12,5.1,2.36,1,1.04,1.14,1.11
alcoholic,2.84,5.69,4.45,1.5,2.54,3.21,2.82,2.39
alert,6.2,6.85,5.96,1.87,1.63,1.27,2.2,1.4
alien,5.6,5.45,4.64,1.48,1.58,1.32,2,1.52
alimony,3.95,4.3,4.63,1.5,2,2.36,1.86,1.75
alive,7.25,5.5,6.39,4.14,1.11,1.11,1.21,1.07
allergy,3.07,4.64,3.21,1.23,2.1,1.97,1.87,2.43
alley,4.48,4.91,4,1.76,1.28,1.52,2.55,1.59
alone,2.41,4.83,3.7,1.21,1.71,3.5,2.82,1.57
aloof,4.9,4.28,4.69,2,1.51,1.55,1.47,1.46
ambition,7.04,5.61,6.93,3.43,1.37,1.47,1.83,1.3
ambulance,2.47,7.33,3.22,1.21,1.68,3.25,3.21,1.36
angel,7.53,4.83,4.97,4.36,1,1.07,1.18,1
anger,2.34,7.63,5.5,1.07,4.4,2.5,2.23,1.97
angry,2.85,7.17,5.55,1.03,4.48,2.45,2.55,2.14
anguished,2.12,5.33,3.45,1.21,2.51,3.16,2.3,2.48
ankle,5.27,4.16,4.77,1.5,1.25,1.25,1.29,1.21
annoy,2.74,6.49,5.09,1.1,3.63,1.67,1.73,2.77
answer,6.63,5.41,5.85,2.3,1.37,1.4,1.67,1.13
anxious,4.81,6.92,5.33,2,1.67,1.83,2.33,1.43
applause,7.5,5.8,6.48,3.6,1.17,1.03,1.14,1.03
appliance,5.1,4.05,5.05,1.79,1.21,1.18,1.25,1.11
arm,5.34,3.59,5.07,1.86,1.28,1.03,1.17,1.17
army,4.72,5.03,5.03,2.13,2.32,1.94,2.68,1.55
aroused,7.97,6.63,6.14,4.31,1.07,1.1,1.34,1.28
arrogant,3.69,5.65,5.14,1.39,2.87,1.45,1.48,2.35
art,6.68,4.86,5.3,3,1.65,1.74,1.52,1.55
assassin,3.09,6.28,4.33,1.07,3.07,2.07,3.32,2.04
assault,2.03,7.51,3.94,1.21,3.76,3.07,3.45,2.93
astonished,6.56,6.58,5.16,2.03,1.32,1.26,1.52,1.13
astronaut,6.66,5.28,5.2,3.03,1.17,1.28,1.79,1.1
athletics,6.61,6.1,6.12,4.03,2,1.62,1.55,1.48
autumn,6.3,4.51,5.15,3.39,1.26,1.58,1.26,1.16
avalanche,3.29,5.54,3.61,1.31,2,2.31,3.83,1.62
avenue,5.5,4.12,5.4,1.86,1.21,1.17,1.17,1.21
awed,6.7,5.74,5.3,3.34,1.53,1.64,1.31,1.19
baby,8.22,5.53,5,4.17,1.1,1.3,1.47,1.2
bake,6.17,5.1,5.49,3,1.11,1.04,1.25,1
bandage,4.54,3.9,4.52,1.14,1.36,1.64,1.71,1.64
bankrupt,2,6.21,3.27,1.06,2.48,2.87,2.74,2.1
banner,5.4,3.83,4.8,2.03,1.2,1.1,1.1,1.17
bar,6.42,5,5.47,3.06,1.35,1.39,1.19,1.42
barrel,5.05,3.36,4.89,1.42,1.16,1.16,1.16,1.16
basket,5.45,3.63,5.76,2,1.1,1.24,1.14,1.1
bastard,3.36,6.07,4.17,1.33,3.2,2.37,1.6,2.2
bath,7.33,4.16,6.41,3.33,1.3,1.17,1.2,1.53
bathroom,5.55,3.88,5.65,1.75,1.07,1.04,1.29,2.11
bathtub,6.69,4.36,5.76,2.61,1.07,1.07,1.14,1.21
beach,8.03,5.53,5.44,4.03,1.2,1.37,1.43,1.2
beast,4.23,5.57,4.89,1.39,1.89,1.39,2.89,1.61
beautiful,7.6,6.17,6.29,4.31,1.24,1.24,1.31,1.14
beauty,7.82,4.95,5.53,4.28,1.17,1.28,1.07,1.1
bed,7.51,3.61,6.88,3.63,1.13,1.63,1.37,1.23
bees,3.2,6.51,4.16,1.31,2.66,1.21,3,1.97
beggar,3.22,4.91,4.09,1.18,2.15,3.19,1.46,1.68
bench,4.61,3.59,4.68,1.21,1.32,1.36,1.25,1.14
bereavement,4.57,4.2,4.33,1.31,1.89,2.09,1.55,1.5
betray,1.68,7.24,4.92,1.14,4.1,3.03,2.7,3.24
beverage,6.83,5.21,5.63,3.29,1.21,1.14,1.11,1.07
bird,7.27,3.17,4.42,2.75,1.11,1.14,1.18,1.21
birthday,7.84,6.68,5.89,4.48,1.03,1.19,1.16,1.03
black,5.39,4.61,5.14,1.43,2.57,2.67,2.47,2.27
blackmail,2.95,6.03,3.54,1,3.61,2.43,2.71,2.5
bland,4.1,3.29,4.88,1.27,1.5,1.73,1.3,1.93
blase,4.89,3.94,4.57,1.48,1.31,1.52,1.5,1.28
blasphemy,3.75,4.93,4.75,1.23,2.48,1.9,1.77,1.87
bless,7.19,4.05,5.52,3.79,1.07,1.07,1.04,1
blind,3.05,4.39,3.28,1.2,2.1,3.33,2.83,1.37
bliss,6.95,4.41,6.12,4.55,1.14,1.07,1.14,1.07
blister,2.88,4.1,3.98,1.03,2.6,1.85,1.96,2.8
blond,6.43,5.07,5.74,3.21,1.45,1.34,1.28,1.34
bloody,2.9,6.41,3.96,1.18,2.62,2.97,3.53,3.59
blossom,7.26,5.03,5.53,3.31,1.07,1.1,1.07,1.1
blubber,3.52,4.57,3.86,1.76,1.69,1.83,1.59,2.59
blue,6.76,4.31,5.63,2.6,1.5,2.63,1.4,1.33
board,4.82,3.36,4.98,1.57,1.77,1.6,1.53,1.49
body,5.55,5.52,5.34,3.24,1.48,1.28,1.21,1.38
bold,6.8,5.6,6.67,2.53,1.87,1.37,1.7,1.33
bomb,2.1,7.15,4.54,1.2,3.17,2.65,3.33,2.13
book,5.72,4.17,5.3,2.77,2.03,1.8,1.8,1.83
bored,2.95,2.83,4.11,1.1,1.9,2.14,1.24,1.9
bottle,6.15,4.79,4.78,2.4,1.47,1.63,1.6,1.5
bouquet,7.02,5.46,6.15,3.41,1.14,1.14,1.1,1.1
bowl,5.33,3.47,4.69,1.97,1.35,1.23,1.23,1.35
boxer,5.51,5.12,5.1,2.13,1.9,1.29,1.87,1.42
boy,6.32,4.58,5.34,2.19,1.39,1.48,1.52,1.42
brave,7.15,6.15,7.22,3.5,1.32,1.14,1.82,1
breast,6.5,5.37,5.39,3.77,1.2,1.47,1.37,1.2
breeze,6.85,4.37,5.54,3.42,1.1,1.16,1.06,1.13
bride,7.34,5.55,5.74,3.96,1.07,1.21,1.14,1
bright,7.5,5.4,6.34,3.35,1.32,1.13,1.06,1.19
broken,3.05,5.43,4.14,1.07,2.71,3.07,2.29,1.5
brother,7.11,4.71,5.12,3.6,1.87,1.47,1.38,1.33
brutal,2.8,6.6,4.59,1.27,3.57,2.63,2.87,2.43
building,5.29,3.92,5.25,1.83,1.21,1.21,1.55,1.31
bullet,3.29,5.33,3.9,1.14,2.29,2.14,3.04,1.82
bunny,7.24,4.06,4.97,3.47,1.1,1.17,1.13,1.17
burdened,2.5,5.63,5.03,1.2,2.76,2.57,2,2.14
burial,2.05,5.08,3.55,1.23,2,4.03,2.23,1.26
burn,2.73,6.22,4.22,1.13,2.8,2.37,3.13,2.1
bus,4.51,3.55,4.84,1.55,1.45,1.35,1.52,1.42
busybody,5.17,4.84,5.45,1.86,1.9,1.63,1.31,1.97
butter,5.33,3.17,4.67,2.07,1.17,1.2,1.17,1.67
butterfly,7.17,3.47,4.65,3.3,1.27,1.27,1.3,1.37
cabinet,5.05,3.43,4.73,1.47,1.1,1.07,1.13,1.27
cake,7.26,5,5.16,3.6,1.07,1.13,1.07,1.25
cancer,1.5,6.42,3.42,1.1,2.87,3.52,3.48,2.29
candy,6.54,4.58,5.33,3.61,1.04,1.04,1.14,1.36
cane,4,4.2,4.27,1.34,1.54,1.84,1.23,1.17
cannon,4.9,4.71,5.17,1.47,2.2,1.47,2.5,1.47
capable,7.16,5.08,6.47,3.1,1.38,1.41,1.59,1.38
car,7.73,6.24,6.98,3.41,1.55,1.24,1.72,1.24
carcass,3.34,4.83,4.9,1.14,1.97,2.59,2.45,3.21
carefree,7.54,4.17,5.78,3.32,1.21,1.14,1.14,1.14
caress,7.84,5.14,5.83,3.83,1.1,1.3,1.1,1.2
cash,8.37,7.37,6.96,4.07,1.52,1.39,1.38,1.52
casino,6.81,6.51,5.12,3.07,1.5,1.57,1.57,1.21
cat,5.72,4.38,6.16,2.36,1.54,1.25,1.18,1.36
cell,3.82,4.08,4.12,1.96,1.46,1.79,1.86,1.46
cellar,4.32,4.39,4.66,1.29,1.35,1.48,2.32,1.58
cemetery,2.63,4.82,4.27,1.17,2.07,3.9,2.52,1.62
chair,5.08,3.15,4.56,1.59,1.03,1.03,1.14,1.03
champ,7.18,6,6.77,4.16,1.13,1.17,1.2,1.13
champion,8.44,5.85,6.5,4.21,1.38,1.31,1.28,1.17
chance,6.02,5.38,4.64,2.83,1.4,1.53,2.1,1.37
chaos,4.17,6.67,3.86,1.65,2.29,1.84,2.48,1.74
charm,6.77,5.16,5.57,3.64,1.18,1.18,1.18,1.07
cheer,8.1,6.12,6,4.14,1.07,1.07,1.21,1.24
child,7.08,5.55,5.1,4.07,1.34,1.48,1.55,1.21
chin,5.29,3.31,5.26,1.4,1.17,1.13,1.17,1.17
chocolate,6.88,5.29,5.18,4.03,1.1,1.28,1.17,1.21
christmas,7.8,6.27,5.37,4.63,1.3,1.57,1.1,1.17
church,6.28,4.34,5,3.07,1.25,1.18,1.43,1.07
circle,5.67,3.86,5.03,1.76,1.03,1.03,1.17,1.03
circus,7.3,5.97,5.39,3.4,1.3,1.5,1.57,1.4
city,6.03,5.24,5.74,2.64,1.39,1.15,1.61,1.25
cliff,4.67,6.25,4.35,1.77,1.34,1.57,2.73,1.13
clock,5.14,4.02,4.67,1.52,1.32,1.48,1.45,1.35
clothing,6.54,4.78,5.33,2.9,1.59,1.31,1.31,1.66
clouds,6.18,3.3,5.22,3.29,1.29,1.35,1.23,1.19
clumsy,4,5.18,3.86,1.7,2.37,1.93,1.7,1.63
coarse,4.55,4.21,5,1.38,1.86,1.45,1.48,1.62
coast,5.98,4.59,5.67,3.03,1.17,1.1,1.24,1
cockroach,2.81,6.11,4.74,1.07,2.07,1.39,2.25,4
coffin,2.56,5.03,4.08,1.2,1.97,3.99,3.28,1.87
coin,6.02,4.29,5.66,1.89,1.14,1.07,1.11,1.21
cold,4.02,5.19,4.69,1.43,2.25,1.93,1.89,1.39
color,7.02,4.73,6.17,3.1,1.23,1.35,1.32,1.26
column,5.17,3.62,4.81,1.39,1.23,1.23,1.19,1.13
comedy,8.37,5.85,5.44,4.46,1.07,1.04,1,1.07
comfort,7.07,3.93,5.7,4.14,1.04,1.04,1.04,1
computer,6.24,4.75,5.29,2.97,1.77,1.16,1.26,1.39
concentrate,5.2,4.65,4.97,1.76,1.69,1.28,1.17,1.14
confident,7.98,6.22,7.68,3.65,1.23,1.16,1.26,1.19
confused,3.21,6.03,4.24,1.19,2.19,2.13,1.94,1.45
consoled,5.78,4.53,4.44,2.76,1.48,2.34,1.52,1.41
contempt,3.85,5.28,5.13,1.85,2.45,1.41,1.72,1.59
contents,4.89,4.32,4.85,1.36,1.04,1,1.14,1.04
context,5.2,4.22,5.17,1.35,1.23,1.19,1.26,1.19
controlling,3.8,6.1,5.17,1.42,2.65,1.87,2.1,2
cook,6.16,4.44,5.14,2.89,1.25,1.11,1.25,1.18
cord,5.1,3.54,5,1.62,1.45,1.14,1.28,1.21
cork,5.22,3.8,4.98,2.21,1.24,1.14,1.21,1.21
corner,4.36,3.91,4.12,1.55,1.41,1.66,1.56,1.24
corpse,2.18,4.74,3.59,1.14,2.17,2.79,2.79,3.24
corridor,4.88,3.63,5,1.25,1.25,1.32,1.54,1.18
corrupt,3.32,4.67,4.64,1.16,3.1,2.32,2.35,2.48
cottage,6.45,3.39,5.39,3.07,1.07,1.13,1.07,1.07
couple,7.41,6.39,6.02,3.71,1.29,1.29,1.46,1.25
cow,5.57,3.49,5.32,2.1,1.24,1.38,1.28,1.38
coward,2.74,4.07,2.83,1.14,2.1,2.38,2.69,2.34
cozy,7.39,3.32,4.89,4.07,1.23,1.2,1.27,1.17
crash,2.31,6.95,3.44,1.19,2.65,3,3.23,1.9
crime,2.89,5.41,4.12,1.07,3.25,3,3.25,2.61
criminal,2.93,4.79,3.34,1,2.89,2.57,3.07,2.86
crisis,2.74,5.44,3.6,1.04,2.29,2.86,3.5,1.68
crown,6.58,4.28,6.06,3.41,1.24,1.1,1.24,1
crucify,2.23,6.47,3.74,1.3,3.07,3.43,2.77,3.4
crude,3.12,5.07,4.27,1.16,2.32,1.84,1.9,2.61
cruel,1.97,5.68,4.24,1,3.79,3.32,3.11,3.07
crushed,2.21,5.52,3.36,1.1,2.73,3.43,2.43,2.2
crutch,3.43,4.14,3.91,1.04,1.86,2.39,1.82,1.11
cuddle,7.72,4.4,5.85,4.3,1.13,1.35,1.23,1.1
cuisine,6.64,4.39,5.41,3.54,1.04,1,1.11,1.18
curious,6.08,5.82,5.42,2.5,1.36,1.29,1.5,1.07
curtains,4.83,3.67,5.05,1.46,1.07,1.29,1.04,1.04
custom,5.85,4.66,5,2.1,1.35,1.35,1.29,1.29
cut,3.64,5,4.7,1.17,2.77,2.17,2.7,2.2
cute,7.62,5.53,4.86,4.13,1.13,1.33,1.13,1.1
cyclone,3.6,6.36,4.89,1.24,2.24,2.31,3.38,1.34
dagger,3.38,6.14,4.52,1.17,2.52,1.93,3.24,1.66
damage,3.05,5.57,3.88,1.45,3.34,2.72,2.31,2.31
dancer,7.14,6,6.02,2.77,1.32,1.32,1.39,1.35
danger,2.95,7.32,3.59,1.47,2.57,2.23,3.63,1.63
dark,4.71,4.28,4.84,1.52,1.46,2.08,2.85,1.32
dawn,6.16,4.39,5.16,2.9,1.31,1.48,1.38,1.21
daylight,6.8,4.77,5.48,3.68,1.25,1.07,1.04,1.04
dazzle,7.29,6.33,5.62,3.1,1.13,1.1,1.06,1.1
dead,1.94,5.73,2.84,1.32,2.16,3,2.87,2.03
death,1.61,4.59,3.47,1.3,2.9,3.9,3.57,2.47
debt,2.22,5.68,3.02,1.17,3,3.31,3.1,2.38
deceit,2.9,5.68,3.95,1.2,3.2,2.53,2.13,2.29
decompose,3.2,4.65,4.02,1.07,1.25,1.75,1.54,2.96
decorate,6.93,5.14,6.05,2.9,1.13,1.13,1.19,1.23
defeated,2.34,5.09,3.11,1.14,3.46,3.25,2.36,2.07
defiant,4.26,6.1,5.77,1.77,2.4,1.65,1.81,1.63
deformed,2.41,4.07,3.95,1.1,1.84,3.13,2.16,2.71
delayed,3.07,5.62,3.64,1.29,2.29,1.7,1.74,1.48
delight,8.26,5.44,5.79,4.59,1.14,1.14,1.07,1.03
demon,2.11,6.76,4.89,1.04,3.14,2.32,3.75,2.46
dentist,4.02,5.73,3.8,1.65,1.81,1.68,2.52,1.81
depressed,1.83,4.72,2.74,1.04,2.5,4.23,2.87,2.07
depression,1.85,4.54,2.91,1.1,2.79,4.21,3.07,2.28
derelict,4.28,4.1,4.78,1.42,1.6,1.8,1.46,1.91
deserter,2.45,5.5,3.77,1.04,3.14,2.21,2.03,2.93
desire,7.69,7.35,6.49,3.76,1.57,1.31,1.55,1.07
despairing,2.43,5.68,3.43,1.1,2.17,3.3,2.27,1.87
despise,2.03,6.28,4.72,1.04,3.57,2.14,1.71,2.14
destroy,2.64,6.83,4.94,1.32,3.26,2.61,2.58,1.71
destruction,3.16,5.82,3.93,1.5,3.7,2.9,2.6,2.27
detached,3.86,4.26,3.63,1.35,1.74,2.39,1.84,1.13
detail,5.55,4.1,5.21,2.13,1.32,1.1,1.1,1.35
detest,2.17,6.06,5.83,1.07,2.8,1.81,1.87,2.6
devil,2.21,6.07,5.35,1,3.21,2.68,3.61,2.96
devoted,7.41,5.23,6.18,3.32,1.07,1.07,1.25,1
diamond,7.92,5.53,5.54,3.4,1.27,1.37,1.2,1.33
dignified,7.1,4.12,6.12,3.32,1.11,1.04,1.07,1.11
dinner,7.16,5.43,6.1,3.9,1.16,1.13,1.1,1.23
diploma,8,5.67,6.76,4.11,1,1.29,1.36,1
dirt,4.17,3.76,4.83,1.8,1.33,1.37,1.33,2.1
dirty,3.08,4.88,4.7,1.28,2.07,1.79,1.72,3.41
disappoint,2.39,4.92,3.29,1.06,2.61,3.1,2.74,1.9
disaster,1.73,6.33,3.52,1.11,2.96,3.5,3.43,2.43
discomfort,2.19,4.17,3.86,1.17,2.76,2.17,1.79,2.1
discouraged,3,4.53,3.61,1.14,2.45,2.66,1.62,1.72
disdainful,3.68,5.04,4.55,1.32,2.3,1.73,1.73,2.04
disgusted,2.45,5.42,4.34,1.23,1.9,1.52,1.58,4.53
disloyal,1.93,6.56,3.79,1.04,3.43,2.57,2.14,2.43
displeased,2.79,5.64,4.19,1.04,2.79,1.71,1.57,1.61
distressed,1.94,6.4,3.76,1.3,2.93,2.87,2.77,1.8
disturb,3.66,5.8,4.55,1.04,2.89,1.61,1.75,1.68
diver,6.45,5.04,5.04,2.32,1.11,1.07,1.57,1.14
divorce,2.22,6.33,3.26,1,3.14,3.64,3.11,2.57
doctor,5.2,5.86,4.89,2.37,1.76,1.8,2.47,1.47
dog,7.57,5.76,6.25,4.03,1.42,1.71,1.19,1.29
doll,6.09,4.24,4.61,2.1,1.41,1.28,1.45,1.52
dollar,7.47,6.07,6.33,3.13,1.42,1.35,1.48,1.26
door,5.13,3.8,4.69,1.7,1.7,1.4,1.43,1.23
dove,6.9,3.79,5.48,3.25,1.04,1.14,1.07,1.07
dreadful,2.26,5.84,4.1,1.21,2.28,2.59,2.62,2.38
dream,6.73,4.53,5.53,3.61,1.45,1.61,1.65,1.29
dreary,3.05,2.98,3.81,1.11,1.46,3,1.5,1.43
dress,6.41,4.05,5,2.29,1.18,1.21,1.32,1.11
drown,1.92,6.57,2.86,1.03,2.46,3.55,4.1,2.1
dummy,3.38,4.35,3.67,1.26,2,1.87,1.55,1.65
dump,3.21,4.12,3.83,1.13,2.3,2.47,2.13,2.47
dustpan,3.98,3.43,5.45,1.11,1.18,1.11,1.07,1.39
earth,7.15,4.24,5.61,3.47,1.8,2.07,1.9,1.73
easy,7.1,4.48,7,3.94,1.06,1.06,1.19,1.1
easygoing,7.2,4.3,5.25,3.78,1.18,1.14,1.21,1.14
eat,7.47,5.69,5.6,3.83,1.24,1.45,1.21,1.59
ecstasy,7.98,7.38,6.68,3.97,1.1,1.2,1.93,1.47
education,6.69,5.74,6.15,3.46,1.46,1.29,1.57,1.11
egg,5.29,3.76,4.49,1.97,1.26,1.16,1.26,1.39
elated,7.45,6.21,5.53,3.9,1.25,1.16,1.12,1.05
elbow,5.12,3.81,4.88,1.35,1.35,1.23,1.29,1.1
elegant,7.43,4.53,5.95,2.84,1.32,1.39,1.16,1.16
elevator,5.44,4.16,4.32,1.36,1.07,1.11,1.5,1.04
embarrassed,3.03,5.87,2.87,1.5,2.63,2.7,2.83,1.97
embattled,4.39,5.36,4.81,1.28,2.48,2.19,2.74,1.92
employment,6.47,5.28,5.73,3.33,2,1.47,1.93,1.4
engaged,8,6.77,6.49,4.03,1.14,1.21,1.9,1.1
engine,5.2,3.98,5,1.74,1.1,1.13,1.32,1.32
enjoyment,7.8,5.2,6.46,4.32,1.03,1.06,1.1,1.13
ennui,5.09,4.4,4.67,1.39,1.26,1.3,1.41,1.3
enraged,2.46,7.97,6.33,1.07,4.03,2.1,2.6,1.67
erotic,7.43,7.24,6.39,3.87,1.13,1.07,1.27,1.37
errand,4.58,3.85,4.78,1.6,1.8,1.33,1.2,1.5
event,6.21,5.1,5.52,2.5,1.43,1.43,1.43,1.29
evil,3.23,6.39,5.25,1.04,3.54,2.55,3.5,2.36
excellence,8.38,5.54,7.28,4.3,1.23,1.17,1.23,1.23
excitement,7.5,7.67,6.18,4.48,1.24,1.1,1.24,1.03
excuse,4.05,4.48,4.07,1.66,1.93,1.55,1.59,1.86
execution,2.37,5.71,4.11,1.16,2.94,3.1,2.84,2.61
exercise,7.13,6.84,5.68,3.52,1.55,1.35,1.26,1.35
fabric,5.3,4.14,5.03,1.62,1.31,1.21,1.21,1.34
face,6.39,5.04,5.67,2.77,1.6,1.77,1.6,1.53
failure,1.7,4.95,2.4,1.1,3.3,3.7,3.67,2.63
fall,4.09,4.7,4,2.42,1.42,1.48,1.68,1.2
fame,7.93,6.55,6.85,3.64,1.32,1.29,1.43,1.32
family,7.65,4.8,6,4.5,1.43,1.36,1.14,1.11
famous,6.98,5.73,6.32,3.39,1.21,1.14,1.21,1.39
fantasy,7.41,5.14,6.43,3.86,1.24,1.14,1.21,1.17
farm,5.53,3.9,5.59,2.83,1.27,1.57,1.3,1.73
fascinate,7.34,5.83,6.15,3.6,1.2,1.2,1.33,1.1
fat,2.28,4.81,4.47,1.57,2.7,2.73,2.43,3.37
father,7.08,5.92,5.63,3.81,1.55,1.35,1.42,1.13
fatigued,3.28,2.64,3.78,1.47,1.77,1.77,1.73,1.53
fault,3.43,4.07,4.02,1.17,2.66,1.97,2.28,1.72
favor,6.46,4.54,5.67,2.87,1.39,1.29,1.32,1.48
fear,2.76,6.96,3.22,1.16,2.19,2.26,4.55,1.48
fearful,2.25,6.33,3.64,1.04,2.25,2.21,4.11,1.39
feeble,3.26,4.1,2.71,1.31,1.69,2.14,1.55,1.41
festive,7.3,6.58,5.77,4.23,1.17,1.27,1.17,1.17
fever,2.76,4.29,3.52,1.13,2,2.32,2.19,1.77
field,6.2,4.08,5.84,2.68,1.23,1.29,1.26,1.16
fight,3.76,7.15,5.27,1.46,3.57,2.29,2.64,1.82
filth,2.47,5.12,3.81,1.48,2.21,2.31,2.03,4
finger,5.29,3.78,5.05,2.1,1.37,1.4,1.43,1.4
fire,3.22,7.17,4.49,1.45,2.52,2.76,3.28,1.83
fireworks,7.55,6.67,5.51,3.61,1.26,1.23,1.71,1.13
fish,6.04,4,6.02,2.74,1.13,1.35,1.16,1.42
flabby,2.66,4.82,3.31,1.37,2.03,2.2,1.67,3.37
flag,6.02,4.6,5.5,3.14,1.45,1.55,1.48,1.34
flirt,7.52,6.91,6.24,3.97,1.57,1.63,1.6,1.43
flood,3.19,6,3.24,1.17,2.31,3.45,3.1,2.45
flower,6.64,4,4.98,3.16,1.23,1.48,1.23,1.19
