Word,Valence Mean,Arousal Mean,Dominance Mean,Happiness Mean,Anger Mean,Sadness Mean,Fear Mean,Disgust Mean
foam,6.07,5.26,5.24,1.81,1.23,1.26,1.32,1.39
food,7.65,5.92,6.18,3.71,1.42,1.35,1.32,1.74
foot,5.02,3.27,4.98,1.53,1.23,1.17,1.17,2.07
fork,5.29,3.96,5.74,1.77,1.1,1.13,1.13,1.35
foul,2.81,4.93,4.51,1.31,2.66,1.62,1.76,2.54
fragrance,6.07,4.79,5.14,3.4,1.47,1.63,1.33,2.1
fraud,2.67,5.75,3.58,1.16,3.03,2.19,1.97,2.16
free,8.26,5.15,6.35,4.21,1.21,1.04,1.29,1.14
freedom,7.58,5.52,6.76,3.93,1.4,1.57,1.5,1.17
friend,7.74,5.74,6.74,4.58,1.34,1.44,1.14,1.03
friendly,8.43,5.11,5.92,4.46,1.04,1.07,1.04,1.04
frigid,3.5,4.75,4.27,1.2,1.73,2,2.3,1.63
frog,5.71,4.54,5.34,2.39,1.23,1.26,1.35,1.58
frustrated,2.48,5.61,3.5,1,3.75,2,1.75,1.82
fun,8.37,7.22,6.8,4.68,1.03,1.06,1.1,1.03
funeral,1.39,4.94,2.97,1.03,2.5,4.2,2.73,1.8
fungus,3.06,4.68,4.06,1.29,1.42,1.39,1.71,3.29
fur,4.51,4.18,4.32,2.47,1.37,1.47,1.3,1.57
game,6.98,5.89,5.7,3.38,1.66,1.59,1.45,1.28
gangrene,2.28,5.7,3.36,1.11,1.93,2.39,2.57,3.47
garbage,2.98,5.04,4.24,1.14,1.64,1.49,1.57,3.43
garden,6.71,4.39,6.02,2.81,1.13,1.06,1.1,1.32
garment,6.07,4.49,5.3,1.97,1.33,1.17,1.13,1.17
garter,6.22,5.47,5.82,3.17,1.28,1.16,1.42,1.12
gender,5.73,4.38,5.6,2.24,1.45,1.52,1.38,1.45
gentle,7.31,3.21,5.1,3.45,1.41,1.24,1.31,1.17
germs,2.86,4.49,3.79,1.3,1.87,2.03,2.8,3.43
gift,7.77,6.14,5.52,4.31,1.17,1.21,1.31,1.07
girl,6.87,4.29,5.8,3.8,1.4,1.63,1.6,1.13
glacier,5.5,4.24,4.92,1.82,1.11,1.21,1.61,1.04
glamour,6.76,4.68,5.76,2.81,1.39,1.39,1.26,1.58
glass,4.75,4.27,5,1.69,1.34,1.31,1.62,1.14
gloom,1.88,3.83,3.55,1.28,1.72,3.1,1.93,1.69
glory,7.55,6.02,6.85,4.16,1.32,1.23,1.23,1.1
god,8.15,5.95,5.88,3.86,1.39,1.5,2.14,1.14
gold,7.54,5.76,5.85,3.59,1.21,1.07,1.17,1.28
golfer,5.61,3.73,5.55,3.34,1.52,1.21,1.21,1.34
good,7.47,5.43,6.41,4.43,1.2,1.1,1.1,1.07
gossip,3.48,5.74,3.57,1.31,3.38,2.1,1.93,2.97
graduate,8.19,7.25,6.94,4.06,1.16,1.68,1.84,1.16
grass,6.12,4.14,5.44,2.71,1.26,1.1,1.16,1.19
grateful,7.37,4.58,6.18,3.69,1.1,1.17,1,1
greed,3.51,4.71,4.88,1.39,2.82,2.32,2.21,2.79
green,6.18,4.28,4.82,2.93,1.17,1.1,1.1,1.1
greet,7,5.27,5.95,3.5,1.23,1.17,1.53,1.13
grenade,3.6,5.7,4.29,1.11,2.61,2.07,3.29,1.71
grief,1.69,4.78,3.5,1.27,2.5,3.6,2.1,1.67
grime,3.37,3.98,4.47,1,1.64,1.29,1.5,3.57
grin,7.4,5.27,6,3.73,1.33,1.23,1.2,1.24
gripe,3.14,5,4.67,1.14,2.39,1.39,1.21,1.71
guillotine,2.48,6.56,4.64,1.1,2.59,2.31,3.24,2.72
guilty,2.63,6.04,3.09,1.18,2.5,2.57,2.46,1.79
gun,3.47,7.02,3.53,1.39,2.57,2.18,3.39,1.86
gymnast,6.35,5.02,5.31,2.68,1.16,1.13,1.42,1.13
habit,4.11,3.95,4.3,1.86,1.72,1.55,1.69,1.59
hairdryer,4.84,3.71,5.57,1.69,1.45,1.17,1.28,1.34
hairpin,5.26,3.27,5.05,1.33,1.17,1.23,1.17,1.13
hamburger,6.27,4.55,5.32,3.04,1.18,1.14,1.18,1.43
hammer,4.88,4.58,4.75,1.52,1.81,1.35,1.61,1.26
hand,5.95,4.4,5.35,2.16,1.26,1.35,1.26,1.26
handicap,3.29,3.81,4,1.24,1.76,2.9,2.21,1.38
handsome,7.93,5.95,5.19,3.76,1.28,1.14,1.21,1.07
haphazard,4.02,4.07,4.29,1.32,2.1,1.74,2.34,1.84
happy,8.21,6.49,6.63,4.48,1.1,1.32,1.16,1.1
hard,5.22,5.12,5.59,1.45,2.23,1.52,1.71,1.19
hardship,2.45,4.76,4.22,1.23,2.87,2.9,2.8,1.73
hat,5.46,4.1,5.39,2.4,1.17,1.2,1.1,1.27
hate,2.12,6.95,5.05,1,3.75,2.68,2.68,2.86
hatred,1.98,6.66,4.3,1.24,4.03,3.14,2.93,3.41
hawk,5.88,4.39,5.5,2.27,1.14,1.07,1.5,1
hay,5.24,3.95,5.37,1.89,1.11,1.14,1.14,1.07
headache,2.02,5.07,3.6,1,2.68,2.21,2.14,1.75
headlight,5.24,3.81,4.88,1.66,1.28,1.24,1.59,1.1
heal,7.09,4.77,5.79,3.75,1.18,1.18,1.21,1.11
health,6.81,5.13,5.83,4.14,1.45,1.59,1.9,1.38
heart,7.39,6.34,5.49,3.32,1.26,1.48,1.32,1.13
heaven,7.3,5.61,6.15,4.19,1.16,1.29,1.55,1.06
hell,2.24,5.38,3.24,1.16,2.74,2.84,3.19,2.48
helpless,2.2,5.34,2.27,1.2,3.17,3.3,2.87,2
heroin,4.36,5.11,4.8,1.55,2.13,2.03,2.13,2.9
hide,4.32,5.28,3.4,1.48,1.42,1.61,2.48,1.19
highway,5.92,5.16,5.66,2.41,1.59,1.1,1.45,1.34
hinder,3.81,4.12,4.21,1.33,2.67,2.4,2.2,2.07
history,5.24,3.93,4.83,2.06,1.55,1.68,1.55,1.52
hit,4.33,5.73,4.88,1.6,3,2.17,2.23,1.87
holiday,7.55,6.59,6.3,4.5,1.11,1.36,1.04,1.04
home,7.91,4.21,5.9,4.11,1.26,1.42,1.16,1.06
honest,7.7,5.32,6.24,3.75,1.07,1.18,1.46,1.04
honey,6.73,4.51,5.44,2.96,1.14,1.18,1.04,1.07
honor,7.66,5.9,6.7,4,1.43,1.3,1.17,1.33
hooker,3.34,4.93,4.73,1.64,1.54,2.21,1.18,3.32
hope,7.05,5.44,5.52,3.58,1.23,1.55,1.42,1.23
hopeful,7.1,5.78,5.41,3.79,1.31,1.38,1.34,1.1
horror,2.76,7.21,4.63,1.34,1.86,1.62,3.55,1.55
horse,5.89,3.89,4.67,3,1.1,1.13,1.23,1.23
hospital,5.04,5.98,4.69,1.32,1.64,3.04,3,1.82
hostage,2.2,6.76,2.83,1.16,2.74,2.71,2.84,2.1
hostile,2.73,6.44,4.85,1.16,3.29,1.81,2.71,1.68
hotel,6,4.8,5.12,2.86,1.48,1.41,1.34,1.62
house,7.26,4.56,6.08,2.9,1.26,1.39,1.19,1.32
hug,8,5.35,5.79,4.25,1.18,1.32,1.23,1.18
humane,6.89,4.5,5.7,2.94,1.19,1.35,1.26,1.19
humble,5.86,3.74,4.76,2.7,1.33,1.5,1.27,1.13
humiliate,2.24,6.14,2.6,1.23,3.37,3.4,3.03,2.67
humor,8.56,5.5,6.08,4.23,1.17,1.27,1.13,1.27
hungry,3.58,5.13,4.68,1.52,1.65,1.81,1.61,1.55
hurricane,3.34,6.83,3.07,1.14,2.72,3.45,3.31,2.24
hurt,1.9,5.85,3.33,1.14,3.1,3.2,3,2.33
hydrant,5.02,3.71,5.53,1.65,1.19,1.23,1.16,1.1
icebox,4.95,4.17,5.05,1.86,1.28,1.45,1.38,1.14
idea,7,5.86,6.26,3.04,1.46,1.43,1.46,1.36
identity,6.57,4.95,6.4,2.36,1.43,1.43,1.61,1.14
idiot,3.16,4.21,3.18,1.35,2.39,1.94,1.45,2.03
idol,6.12,4.95,5.37,2.53,1.53,1.63,1.33,1.57
ignorance,3.07,4.39,4.41,1.2,3.13,2.13,1.93,2.67
illness,2.48,4.71,3.21,1.07,2.5,2.97,2.93,2.77
imagine,7.32,5.98,7.07,3.32,1.14,1.14,1.32,1.04
immature,3.39,4.15,4.85,1.53,2.53,1.5,1.37,2.3
immoral,3.5,4.98,4.66,1.29,2.52,2.29,2.03,2.29
impair,3.18,4.04,4.09,1.27,2.17,2.18,2.53,1.67
impotent,2.81,4.57,3.43,1.04,2,2.36,2.11,1.86
impressed,7.33,5.42,5.51,3.35,1.23,1.19,1.39,1.06
improve,7.65,5.69,6.08,3.66,1.24,1.14,1.38,1.03
incentive,7,5.69,5.93,3.21,1.21,1.17,1.45,1.24
indifferent,4.61,3.18,4.84,1.66,1.55,1.66,1.52,1.45
industry,5.3,4.47,4.91,1.86,1.45,1.31,1.1,1.52
infant,6.95,5.05,5.67,3.41,1.29,1.07,1.18,1.07
infatuation,6.73,7.02,4.9,2.71,1.39,1.32,1.39,1.36
infection,1.66,5.03,3.61,1.24,2.65,2.79,3.07,3.52
inferior,3.07,3.83,2.78,1.07,2.57,2,2.04,1.86
inhabitant,5.05,3.95,5.37,1.68,1.16,1.29,1.29,1.16
injury,2.49,5.69,3.57,1.29,2.52,2.65,2.61,1.77
ink,5.05,3.84,4.61,1.83,1.36,1.17,1.24,1.24
innocent,6.51,4.21,5.28,3.17,1.3,1.27,1.33,1.27
insane,2.85,5.83,4.12,1.07,2.43,2.68,2.79,1.61
insect,4.07,4.07,4.56,1.6,1.83,1.5,2.33,2.43
insecure,2.36,5.56,2.33,1.07,2,2.71,2.38,1.75
insolent,4.35,5.38,4.5,1.52,1.77,2.13,1.88,1.78
inspire,6.97,5,6.34,3.58,1.26,1.26,1.23,1.13
inspired,7.15,6.02,6.67,3.86,1.18,1.21,1.36,1.14
insult,2.29,6,3.62,1.04,3.21,2.21,1.75,1.93
intellect,6.82,4.75,6.3,2.97,1.4,1.17,1.37,1.17
intercourse,7.36,7,6.4,4.48,1,1.21,1.24,1.1
interest,6.97,5.66,5.88,2.93,1.43,1.43,1.37,1.37
intimate,7.61,6.98,5.86,4.32,1.03,1.16,1.19,1.06
intruder,2.77,6.86,4,1,3.61,1.71,3.25,2.21
invader,3.05,5.5,4,1.17,3.34,2,3.21,2.76
invest,5.93,5.12,5.88,2.87,1.26,1.23,1.58,1.17
iron,4.9,3.76,5.1,1.48,1.42,1.13,1.23,1.06
irritate,3.11,5.76,5.03,1.23,3.52,1.52,1.52,1.55
item,5.26,3.24,5.26,1.58,1.35,1.29,1.26,1.23
jail,1.95,5.49,3.81,1.07,3.17,3.17,3.4,3.07
jealousy,2.51,6.36,3.8,1.04,3.21,2.61,2.21,2.21
jelly,5.66,3.7,4.53,2.71,1.13,1.06,1.19,1.32
jewel,7,5.38,5.59,3.46,1.21,1.11,1.11,1.07
joke,8.1,6.74,6.15,3.94,1.48,1.16,1.16,1.58
jolly,7.41,5.57,6.39,4.48,1.13,1.16,1.06,1.23
journal,5.14,4.05,5.26,1.87,1.47,1.73,1.5,1.23
joy,8.6,7.22,6.28,4.23,1.1,1.26,1.16,1.19
joyful,8.22,5.98,6.6,4.68,1.04,1,1,1
jug,5.24,3.88,5.05,1.64,1.14,1.11,1.04,1.18
justice,7.78,5.47,6.47,3.39,1.46,1.29,1.54,1.32
kerchief,5.11,3.43,5.25,1.43,1.07,1.18,1.04,1.29
kerosene,4.8,4.34,4.63,1.43,1.48,1.32,1.65,1.61
ketchup,5.6,4.09,5.29,2.27,1.17,1.17,1.13,1.37
kettle,5.22,3.22,5,1.6,1.27,1.23,1.37,1.23
key,5.68,3.7,4.98,2.41,1.38,1.31,1.34,1.28
kick,4.31,4.9,5.5,2.03,2.03,1.24,1.28,1.21
kids,6.91,5.27,5.07,4.14,1.83,1.69,1.86,1.48
killer,1.89,7.86,4.54,1.03,3.84,3.16,3.65,3.06
kind,7.59,4.46,5.95,4,1.11,1.04,1,1
kindness,7.82,4.3,5.67,4.36,1.04,1.07,1.04,1
king,7.26,5.51,7.38,3,1.58,1.23,1.58,1.23
kiss,8.26,7.32,6.93,4.38,1.31,1.41,1.38,1.14
kitten,6.86,5.08,6.86,3.55,1.23,1.29,1.23,1.19
knife,3.62,5.8,4.12,1.24,2.28,1.86,3.45,2.03
knot,4.64,4.07,4.67,1.42,2.13,1.35,1.23,1.06
knowledge,7.58,5.92,6.78,3.19,1.29,1.29,1.32,1.16
lake,6.82,3.95,4.9,3.55,1.13,1.19,1.32,1.26
lamb,5.89,3.36,4.91,2.9,1.13,1.4,1.17,1.3
lamp,5.41,3.8,5.27,1.61,1.11,1.11,1.18,1.11
lantern,5.57,4.05,5.07,1.82,1.04,1.11,1.39,1
laughter,8.45,6.75,6.45,4.35,1.1,1.16,1.06,1.06
lavish,6.21,4.93,5.64,3.38,1.32,1.22,1.17,1.5
lawn,5.24,4,5.37,2.31,1.45,1.07,1.1,1.31
lawsuit,3.37,4.93,3.92,1.17,3.59,2.41,2.69,2.66
lazy,4.38,2.65,4.07,1.71,2.19,1.84,1.58,2.45
leader,7.63,6.27,7.88,3.61,1.43,1.07,1.57,1.18
learn,7.15,5.39,6.34,3.41,1.41,1.41,1.52,1.07
legend,6.39,4.88,5.54,2.94,1.16,1.42,1.45,1.19
leisurely,6.88,3.8,5.15,3.18,1.25,1.07,1.11,1.14
leprosy,2.09,6.29,4,1.21,1.93,3.03,2.76,3.14
lesbian,4.67,5.12,5.35,2.75,1.18,1.25,1.29,1.68
letter,6.61,4.9,5.73,2.5,1.18,1.14,1.25,1.14
liberty,7.98,5.6,6.29,3.43,1.43,1.6,1.57,1.1
lice,2.31,5,3.95,1.1,2.3,2.23,3.07,3.83
lie,2.79,5.96,3.3,1.14,3.48,2.48,2.14,2.93
life,7.27,6.02,5.72,4.38,1.62,1.66,1.79,1.34
lightbulb,5.61,4.1,5.82,2.24,1.24,1,1,1.03
lighthouse,5.89,4.41,5.25,2.13,1.16,1.48,1.29,1.16
lightning,4.57,6.61,3.67,2.13,1.7,1.37,2.57,1.17
limber,5.68,4.57,5.34,2.1,1.35,1.26,1.19,1.29
lion,5.57,6.2,4.12,2.32,1.5,1.07,2.64,1.04
listless,4.12,4.1,4.14,1.18,1.25,1.43,1.11,1.18
lively,7.2,5.53,6.09,4.03,1.26,1.13,1.1,1.1
locker,5.19,3.38,5.36,1.79,1.28,1.31,1.34,1.45
loneliness,1.61,4.56,2.51,1.26,1.9,3.48,2.65,1.58
lonely,2.17,4.51,2.95,1.07,2.13,3.93,2.87,1.6
loser,2.25,4.95,3.02,1.04,2.36,2.75,2.32,1.93
lost,2.82,5.82,2.86,1.29,2.58,2.71,3.19,1.74
lottery,6.57,5.36,4.81,3.62,1.62,1.48,1.1,1.45
louse,2.81,4.98,3.57,1.42,2.01,1.67,1.55,2.13
love,8.72,6.44,7.11,4.69,1.62,1.86,1.59,1.21
loved,8.64,6.38,6.62,4.68,1.21,1.29,1.29,1.04
loyal,7.55,5.16,6.91,3.93,1.23,1.3,1.23,1.23
lucky,8.17,6.53,6.05,3.97,1.66,1.38,1.28,1.31
lump,4.16,4.8,4.32,1.23,1.8,2.2,2.43,2.57
luscious,7.5,5.34,5.68,3.14,1.07,1.18,1.14,1.11
lust,7.12,6.88,5.49,3.11,1.46,1.36,1.54,1.57
luxury,7.88,4.75,6.4,3.89,1.11,1.07,1.04,1.46
machine,5.09,3.82,5.23,1.83,1.73,1.43,1.53,1.23
mad,2.44,6.76,5.86,1.14,3.79,2.18,2.24,1.89
madman,3.91,5.56,4.79,1,3,2.14,3.39,2
maggot,2.06,5.28,4.03,1,2.21,1.42,2.31,4.47
magical,7.46,5.95,5.73,3.57,1.11,1.11,1.32,1.04
mail,6.88,5.63,5.67,3.03,1.52,1.45,1.48,1.31
malaria,2.4,4.4,3.22,1.03,2.11,3.18,3.63,3.03
malice,2.69,5.86,4.74,1.04,2.96,1.96,2.36,2.11
man,6.73,5.24,5.53,2.24,1.38,1.24,1.41,1.31
mangle,3.9,5.44,4.61,1.27,2.64,2.7,2.82,2.61
maniac,3.76,5.39,4.22,1.31,2.93,2.28,3.38,2.41
manner,5.64,4.56,5.05,2.23,1.47,1.23,1.1,1.3
mantel,4.93,3.27,4.95,1.52,1.23,1.26,1.16,1.13
manure,3.1,4.17,4.67,1.17,2,1.34,1.66,3.45
market,5.66,4.12,5.27,2.07,1.57,1.47,1.57,1.57
massacre,2.28,5.33,3.5,1,3.57,3.64,3.54,3.21
masterful,7.09,5.2,7.18,3.3,1.43,1.27,1.5,1.23
masturbate,5.45,5.67,5.63,3,1.16,1.32,1.13,1.74
material,5.26,4.05,5.12,1.9,1.43,1.47,1.4,1.53
measles,2.74,5.06,4.13,1,1.82,2.57,2.39,2.71
medicine,5.67,4.4,4.7,2.54,1.14,1.39,1.86,1.36
meek,3.87,3.8,3.67,1.63,1.48,2.2,1.89,1.38
melody,7.07,4.98,5.46,3.9,1.17,1.28,1.14,1.14
memories,7.48,6.1,5.88,3.82,2.32,2.86,2,1.64
memory,6.62,5.42,5.11,3.1,2.07,2.41,1.9,1.9
menace,2.88,5.52,4.98,1.18,2.5,1.79,2.14,2.11
merry,7.9,5.9,6.64,4.07,1.07,1.17,1.14,1.1
messy,3.15,3.34,4.75,1.52,2.72,1.52,1.21,2.79
metal,4.95,3.79,5.38,1.5,1.36,1.07,1.21,1.04
method,5.56,3.85,5.67,1.61,1.19,1.19,1.1,1.29
mighty,6.54,5.61,7.23,3.04,1.5,1.25,1.68,1.14
mildew,3.17,4.08,4.4,1.1,1.68,1.52,1.81,2.94
milk,5.95,3.68,5.83,2.6,1.13,1.2,1.07,1.4
millionaire,8.03,6.14,6.97,3.77,1.39,1.52,1.52,1.32
mind,6.68,5,6.37,2.83,2.03,1.93,2.17,1.8
miracle,8.6,7.65,5.35,4.43,1.13,1.17,1.17,1.2
mischief,5.57,5.76,5.56,2.11,1.94,1.51,2.01,1.73
misery,1.93,5.17,2.55,1.06,2.52,4.16,2.61,2.26
mistake,2.86,5.18,3.86,1.29,2.52,2.26,2.45,1.77
mobility,6.83,5,6.43,3,1.28,1.45,1.48,1.52
modest,5.76,3.98,4.96,2.3,1.4,1.2,1.23,1.33
mold,3.55,4.07,4.33,1.17,1.83,1.45,1.45,3.24
moment,5.76,3.83,4.81,2.18,1.5,1.43,1.46,1.29
money,7.59,5.7,6.25,4.14,2,1.76,1.76,2.07
month,5.15,4.03,4.85,1.49,1.04,1,1.07,1.04
moody,3.2,4.18,4.39,1.29,2.84,2.45,1.68,1.55
moral,6.2,4.49,5.9,2.97,1.6,1.47,1.4,1.4
morbid,2.87,5.06,4.34,1.17,2.17,3.09,2.96,2.82
morgue,1.92,4.84,3.61,1,1.96,3.54,3.14,3
mosquito,2.8,4.78,4.51,1.33,3.1,1.53,1.93,3
mother,8.39,6.13,5.74,4.29,1.32,1.39,1.25,1.07
mountain,6.59,5.49,5.46,2.93,1.43,1.33,1.9,1.23
movie,6.86,4.93,5,3.57,1.6,1.87,1.73,1.63
mucus,3.34,3.41,4.8,1.1,1.34,1.26,1.54,3.86
muddy,4.44,4.13,4.73,2.14,1.66,1.55,1.59,2.45
muffin,6.57,4.76,5.51,3.43,1,1.04,1,1
murderer,1.53,7.47,3.77,1.14,4.21,3.62,3.97,4.03
muscular,6.82,5.47,6.58,3.07,1.37,1.33,1.53,1.6
museum,5.54,3.6,5.32,2.43,1.39,1.39,1.32,1.21
mushroom,5.78,4.72,5.52,2.36,1.04,1.14,1.36,1.43
music,8.13,5.32,6.39,4,1.68,1.77,1.35,1.29
mutation,3.91,4.84,4.07,1.28,1.9,2.38,2.55,2.79
mutilate,1.82,6.41,3.41,1.16,2.97,2.68,2.77,3.13
mystic,6,4.84,5.52,2.52,1.21,1.55,1.65,1.21
naked,6.34,5.8,6,3.52,1.28,1.21,1.79,1.48
name,5.55,4.25,5.16,2.4,1.53,1.47,1.4,1.3
narcotic,4.29,4.93,4.44,1.76,2.24,2.48,2.52,2.66
nasty,3.58,4.89,5,1.18,2.21,1.75,1.89,3.64
natural,6.59,4.09,5.57,3.03,1.4,1.5,1.37,1.33
nature,7.65,4.37,4.95,3.55,1.16,1.29,1.16,1.29
nectar,6.9,3.89,4.54,2.47,1.18,1.08,1.15,1
needle,3.82,5.36,3.95,1.48,1.72,1.62,2.52,1.72
neglect,2.63,4.83,3.85,1.1,3.24,3.14,2.48,3.03
nervous,3.29,6.59,3.56,1.35,1.84,1.84,3.32,1.61
neurotic,4.45,5.13,4.41,1.21,1.96,1.61,1.86,1.57
news,5.3,5.17,4.6,2.13,2.19,2.26,2.03,1.94
nice,6.55,4.38,5.58,3.83,1.17,1.2,1.17,1.13
nightmare,1.91,7.59,3.68,1.1,2.27,2.27,3.57,1.87
nipple,6.27,5.56,5.57,3.38,1.03,1.07,1.03,1.38
noisy,5.02,6.38,4.93,1.29,2.89,1.36,1.32,1.32
nonchalant,4.74,3.12,4.31,1.81,1.39,1.23,1.19,1.65
nonsense,4.61,4.17,4.9,1.43,1.93,1.36,1.39,1.79
noose,3.76,4.39,4.17,1.29,2.39,2.21,2.5,2.14
nourish,6.46,4.29,5.8,3.4,1.27,1.47,1.43,1.4
nude,6.82,6.41,5.96,3.52,1.19,1.16,1.55,1.32
nuisance,3.27,4.49,4.36,1.16,3.1,1.84,1.68,2.1
nun,4.93,2.93,4.93,2.43,1.33,1.53,1.23,1.3
nurse,6.08,4.84,4.84,2.18,1.21,1.46,1.64,1.18
nursery,5.73,4.04,5.18,2.93,1.18,1.32,1.07,1.14
obesity,2.73,3.87,3.74,1.23,2.23,2.39,1.9,3.32
obey,4.52,4.23,4.26,1.86,2.07,1.54,1.57,1.43
obnoxious,3.5,4.74,5.39,1.23,3.43,1.43,1.57,3
obscene,4.23,5.04,4.48,1.38,2.21,1.59,1.72,2.86
obsession,4.52,6.41,4.77,1.59,1.9,2.24,2.28,2.07
ocean,7.12,4.95,5.53,3.83,1.21,1.41,2,1.17
odd,4.82,4.27,4.77,1.61,1.46,1.54,1.5,1.64
offend,2.76,5.56,3.73,1.2,3.53,2.57,2.1,2.47
office,5.24,4.08,5.59,1.67,2.27,2.03,2.03,1.83
opinion,6.28,4.89,5.53,2.21,1.66,1.38,1.48,1.76
optimism,6.95,5.34,6.61,3.76,1.14,1.03,1.21,1.14
option,6.49,4.74,6.34,2.52,1.41,1.17,1.59,1.17
orchestra,6.02,3.52,5.17,2.83,1.53,1.7,1.27,1.13
orgasm,8.32,8.1,6.83,4.62,1.1,1.07,1.14,1.1
outdoors,7.47,5.92,6.27,3.8,1.37,1.37,1.57,1.47
outrage,3.52,6.83,5.26,1.04,3.54,1.96,2.25,2.07
outstanding,7.75,6.24,6.4,3.71,1.29,1.23,1.32,1.26
overcast,3.65,3.46,4.2,1.43,1.8,2.9,1.47,1.7
overwhelmed,4.19,7,3.89,1.64,2.46,1.89,2.54,1.43
owl,5.8,3.98,5.82,2.03,1.45,1.58,1.52,1.26
pain,2.13,6.5,3.71,1.24,3.21,2.9,3.03,2.28
paint,5.62,4.1,5.75,2.26,1.48,1.19,1.23,1.19
palace,7.19,5.1,5.69,4,1.28,1.17,1.21,1.1
pamphlet,4.79,3.62,4.63,1.94,1.5,1.18,1.18,1.25
pancakes,6.08,4.06,5.76,3.72,1.1,1.17,1.03,1.38
panic,3.12,7.02,3.2,1.33,2.5,2.4,3.47,1.73
paper,5.2,2.5,4.47,1.57,2.07,1.73,1.63,1.73
paradise,8.72,5.12,6.03,4.82,1.07,1.04,1,1
paralysis,1.98,4.73,2.56,1.1,2.5,3.23,2.8,1.55
part,5.11,3.82,4.75,1.64,1.36,1.5,1.29,1.29
party,7.86,6.69,5.83,3.97,1.45,1.39,1.48,1.29
passage,5.28,4.36,5.02,1.69,1.07,1.14,1.59,1.03
passion,8.03,7.26,6.13,4.13,1.6,1.4,1.43,1.2
pasta,6.69,4.94,5.8,2.97,1.1,1.03,1,1.24
