Word,Valence Mean,Arousal Mean,Dominance Mean,Happiness Mean,Anger Mean,Sadness Mean,Fear Mean,Disgust Mean
patent,5.29,3.5,4.9,1.64,1.14,1.04,1.11,1.14
patient,5.29,4.21,4.9,1.86,1.64,1.86,1.68,1.25
patriot,6.71,5.17,5.9,3.07,1.87,1.57,1.7,1.37
peace,7.72,2.95,5.45,4.43,1.07,1.33,1.13,1.1
penalty,2.83,5.1,3.95,1.06,2.74,1.87,2,1.42
pencil,5.22,3.14,4.78,1.29,1.61,1.18,1.07,1.39
penis,5.9,5.54,5.92,2.43,1.3,1.33,1.37,1.67
penthouse,6.81,5.52,6.52,3.52,1.34,1.38,1.21,1.62
people,7.33,5.94,6.14,2.71,1.86,1.77,1.68,1.81
perfection,7.25,5.95,6.71,3.79,1.46,1.36,1.57,1.36
perfume,6.76,5.05,5.93,2.68,1.32,1.18,1.04,1.32
person,6.32,4.19,5.35,3.1,2.2,2.17,2,1.87
pervert,2.79,6.26,4.72,1.06,2.74,2.06,2.03,3.9
pest,3.13,5.62,5.29,1.2,3.33,1.83,2,3.07
pet,6.79,5.1,5.85,3.9,1.3,1.77,1.2,1.4
phase,5.17,3.98,4.65,1.67,1.83,1.6,1.43,1.4
pie,6.41,4.2,5.35,3.79,1.21,1.14,1.07,1.31
pig,5.07,4.2,5.34,2,1.32,1.25,1.25,2.18
pillow,7.92,2.97,4.56,3.26,1.26,1.26,1.1,1.13
pinch,3.83,4.59,4.76,1.25,2.32,1.39,1.61,1.29
pistol,4.2,6.15,5.05,1.54,2.47,2.06,3.01,2.03
pity,3.37,3.72,4.12,1.14,1.93,2.96,1.57,1.82
pizza,6.65,5.24,5.69,3.96,1.04,1,1,1.07
plain,4.39,3.52,4.71,1.61,1.57,1.64,1.39,1.36
plane,6.43,6.14,4.78,2.2,1.47,1.4,2.03,1.33
plant,5.98,3.62,4.71,2.11,1.07,1.04,1,1.04
pleasure,8.28,5.74,6.15,4.53,1.2,1.2,1.43,1.33
poetry,5.86,4,5.31,2.61,1.64,2.14,1.54,1.43
poison,1.98,6.05,3.1,1.04,2.54,2.43,3.57,2.54
politeness,7.18,3.74,5.74,3.16,1.16,1.23,1.26,1.19
pollute,1.85,6.08,4.92,1,2.75,2.39,2.46,3.79
poster,5.34,3.93,4.91,2.25,1.14,1,1,1.04
poverty,1.67,4.87,3.21,1.04,2.68,3.64,2.57,2.43
power,6.54,6.67,7.28,3.31,1.69,1.31,2.28,1.52
powerful,6.84,5.83,7.19,3.32,1.5,1.11,1.96,1.25
prairie,5.75,3.41,4.62,2.55,1.19,1.23,1.16,1.13
present,6.95,5.12,5.83,4.1,1.19,1.29,1.19,1.06
pressure,3.38,6.07,3.45,1.43,2.33,2.1,2.77,1.9
prestige,7.26,5.86,6.9,3.8,1.4,1.23,1.33,1.33
pretty,7.75,6.03,5.5,4.03,1.33,1.57,1.37,1.2
prick,3.98,4.7,4.47,1.38,2.83,1.72,1.55,2.41
pride,7,5.83,7.06,3.72,1.59,1.34,1.28,1.48
priest,6.42,4.41,4.88,2.86,1.48,1.31,1.52,1.72
prison,2.05,5.7,4.2,1.1,3,3.27,3.47,3.37
privacy,5.88,4.12,5.66,2.69,1.38,1.41,1.52,1.21
profit,7.63,6.68,5.85,3.83,1.23,1.17,1.17,1.27
progress,7.73,6.02,6.76,3.39,1.14,1.07,1.39,1
promotion,8.2,6.44,6.79,4.07,1.23,1.27,1.37,1.27
protected,7.29,4.09,5.8,3.93,1.28,1.24,1.57,1.17
proud,8.03,5.56,6.74,3.21,1.5,1.21,1.46,1.21
pungent,3.95,4.24,4.78,1.21,1.57,1.39,1.46,2.54
punishment,2.22,5.93,3.5,1.21,3.34,2.83,2.9,1.9
puppy,7.56,5.85,5.51,3.93,1.24,1.31,1.1,1.1
pus,2.86,4.82,4.35,1.21,1.55,1.45,1.83,3.72
putrid,2.38,5.74,4.89,1.42,1.86,1.66,1.72,2.96
python,4.05,6.18,4.52,1.32,1.68,1.39,3.32,2.1
quality,6.25,4.48,5.64,3.27,1.63,1.4,1.23,1.4
quarrel,2.93,6.29,4.02,1.17,3.17,2.17,2.13,1.7
quart,5.39,3.59,5.2,1.45,1.16,1.13,1.1,1.16
queen,6.44,4.76,5.49,2.29,1.45,1.42,1.32,1.19
quick,6.64,6.57,6.57,2.52,1.38,1.28,1.45,1.24
quiet,5.58,2.82,4.42,2.13,1.42,2,1.68,1.16
rabbit,6.57,4.02,6.08,3,1.2,1.3,1.17,1.17
rabies,1.77,6.1,3.85,1,2.5,2.57,3.25,3.14
radiant,6.73,5.39,5.61,3.45,1.24,1.21,1.21,1.1
radiator,4.67,4.02,4.81,1.41,1.55,1.31,1.34,1.34
radio,6.73,4.78,5.28,3.1,1.6,1.2,1.17,1.37
rage,2.41,8.17,5.68,1.31,4.14,1.93,2.52,2.17
rain,5.08,3.65,4.78,2.38,1.6,2.17,1.38,1.34
rainbow,8.14,4.64,4.72,3.57,1.13,1.13,1.13,1.17
rancid,4.34,5.04,4.59,1,1.89,1.56,2.22,3.63
rape,1.25,6.81,2.97,1.07,4.21,3.97,2.79,4.41
rat,3.02,4.95,4.55,1.17,2.24,1.41,2.3,3.41
rattle,5.03,4.36,4.17,2,1.45,1.45,1.55,1.17
razor,4.81,5.36,4.91,1.19,1.71,1.74,2.23,1.32
red,6.41,5.29,5.78,2.11,2.14,1.36,1.68,1.21
refreshment,7.44,4.45,5,3.61,1.04,1.04,1,1
regretful,2.28,5.74,3.43,1.27,2.63,3.5,2.57,2.7
rejected,1.5,6.37,2.72,1,3.43,3.89,3.32,1.96
relaxed,7,2.39,5.55,4.19,1.06,1.03,1.1,1
repentant,5.53,4.69,5.42,1.55,1.58,1.81,1.39,1.45
reptile,4.77,5.18,4.77,1.71,1.11,1.04,1.89,1.61
rescue,7.7,6.53,6.45,4.14,1.34,1.69,2.03,1.17
resent,3.76,4.47,4.46,1.38,2.38,2.03,1.86,1.9
reserved,4.88,3.27,4.3,2.07,1.57,1.73,1.73,1.33
respect,7.64,5.19,6.89,3.9,1.34,1.24,1.52,1.07
respectful,7.22,4.6,5.67,3.8,1.37,1.2,1.5,1.27
restaurant,6.76,5.41,5.73,2.83,1.41,1.41,1.38,1.41
reunion,6.48,6.34,5.64,3.97,1.21,1.41,1.48,1.14
reverent,5.35,4,4.67,2.43,1.28,1.36,1.27,1.12
revolt,4.13,6.56,6.18,1.69,2.55,1.83,2.1,1.79
revolver,4.02,5.55,4.39,1.36,2.29,1.86,2.89,1.5
reward,7.53,4.95,6,4.34,1.38,1.14,1.14,1.03
riches,7.7,6.17,6.74,4.11,1.35,1.1,1.39,1.35
ridicule,3.13,5.83,3.87,1.14,3.29,2.29,2.04,1.86
rifle,4.02,6.35,4.16,1.63,2.43,1.8,2.83,1.8
rigid,3.66,4.66,4.61,1.42,1.81,1.82,1.7,1.52
riot,2.96,6.39,4.18,1.19,2.9,2.06,2.55,1.55
river,6.85,4.51,5.1,2.93,1.48,1.28,1.52,1.31
roach,2.35,6.64,4.82,1.21,1.71,1.45,2.34,4.03
robber,2.61,5.62,3.62,1,3.57,2.29,3.07,2.29
rock,5.56,4.52,5.15,1.87,1.4,1.27,1.47,1.4
rollercoaster,8.02,8.06,5.1,3.4,1.41,1.14,2.78,1.14
romantic,8.32,7.59,6.08,3.93,1.23,1.47,1.83,1.13
rotten,2.26,4.53,4.32,1.03,1.94,1.61,1.74,3.71
rough,4.74,5.33,4.81,1.57,2.21,1.54,1.79,1.25
rude,2.5,6.31,4.91,1,3.71,1.93,1.61,2.68
runner,5.67,4.76,5.47,2.5,1.25,1.21,1.11,1.07
rusty,3.86,3.77,4.53,1.3,1.97,1.9,1.67,2.22
sad,1.61,4.13,3.45,1.14,2.4,4.23,2.13,1.63
safe,7.07,3.86,5.81,3.93,1.04,1.04,1.5,1
sailboat,7.25,4.88,5.86,3.45,1.17,1.17,1.59,1.1
saint,6.49,4.49,5.37,3.61,1.13,1.13,1.1,1.19
salad,5.74,3.81,5.47,2.79,1.03,1.07,1.03,1.14
salute,5.92,5.31,5.46,2.9,1.48,1.41,1.59,1.21
sapphire,7,5,5.55,2.83,1.27,1.3,1.27,1.2
satisfied,7.94,4.94,6.14,3.86,1.04,1.04,1.14,1.04
save,6.45,4.95,6,3.41,1.1,1.21,1.28,1.03
savior,7.73,5.8,6.64,3.86,1.11,1.22,1.4,1.07
scalding,2.82,5.95,3.82,1.33,2.77,2.4,2.93,2.27
scandal,3.32,5.12,4.34,1.17,3.13,2.37,2.63,3.03
scapegoat,3.67,4.53,3.52,1.04,2.46,1.82,1.68,2.04
scar,3.38,4.79,3.88,1.16,1.94,2.06,1.9,1.68
scared,2.78,6.82,2.94,1.28,2.38,2.66,3.97,1.69
scholar,7.26,5.12,6.59,3.13,1.37,1.33,1.27,1.13
scissors,5.05,4.47,5.16,1.4,1.53,1.43,1.83,1.23
scorching,3.76,5,4.1,1.19,2.48,1.79,2.52,1.73
scorn,2.84,5.48,3.93,1.1,3.7,2.6,2.9,2.23
scornful,3.02,5.04,4.59,1.19,3.39,1.94,1.77,1.45
scorpion,3.69,5.38,3.98,1.27,2,1.53,3.23,2.23
scream,3.88,7.04,4.75,1.57,2.36,2.21,3.14,1.43
scum,2.43,4.88,4.26,1,2.07,1.39,1.71,3.89
scurvy,3.19,4.71,4.48,1.2,1.96,2.11,2.39,2.76
seasick,2.05,5.8,3.41,1.1,1.65,2.23,2.13,2.97
seat,4.95,2.95,4.84,1.61,1.07,1.14,1.07,1.07
secure,7.57,3.14,5.93,3.76,1.24,1.24,1.48,1.14
selfish,2.42,5.5,4.64,1.33,3.43,2.2,1.77,2.9
sentiment,5.98,4.41,5.09,2.61,1.18,1.64,1.14,1.07
serious,5.08,4,5.12,1.21,1.75,1.25,1.68,1.11
severe,3.2,5.26,3.83,1.4,2.43,2.13,2.4,1.8
sex,8.05,7.36,5.75,4.55,1.34,1.31,1.24,1.21
sexy,8.02,7.36,6.82,4.39,1.13,1.19,1.16,1.16
shadow,4.35,4.3,4.19,1.54,1.21,1.57,2.14,1.14
shamed,2.5,4.88,2.98,1.31,2.93,3.55,2.34,2.9
shark,3.65,7.16,2.63,1.52,1.94,1.68,3.06,1.45
sheltered,5.75,4.28,3.76,2.3,1.8,1.8,1.8,1.67
ship,5.55,4.38,5.12,2.07,1.17,1.24,1.45,1.14
shotgun,4.37,6.27,5.29,1.9,2.53,1.67,3.03,1.8
shriek,3.93,5.36,4.3,1.5,1.92,1.66,2.73,1.52
shy,4.64,3.77,3.44,1.55,1.66,2.28,2.52,1.55
sick,1.9,4.29,3.04,1.1,2.45,2.84,2.58,2.55
sickness,2.25,5.61,3.84,1.14,2.41,3.21,2.83,2.93
silk,6.9,3.71,4.81,2.86,1.03,1,1.03,1
silly,7.41,5.88,6,3.87,1.37,1.23,1.07,1.33
sin,2.8,5.78,3.62,1.16,2.74,2.58,2.68,2.55
sinful,2.93,6.29,4.24,1.19,2.68,2.65,2.55,2.23
sissy,3.14,5.17,3.58,1.31,2.21,2.03,2.1,1.93
skeptical,4.52,4.91,4.5,1.63,2.07,1.47,1.83,1.5
skijump,7.06,7.06,4.9,3,1.33,1.27,3.17,1.1
skull,4.27,4.75,4.86,1.27,2.07,1.87,2.47,2
sky,7.37,4.27,5.16,3.16,1.1,1.16,1.29,1.03
skyscraper,5.88,5.71,4.33,2.38,1.34,1.66,2.14,1.41
slap,2.95,6.46,4.21,1.13,3.19,1.77,1.9,1.65
slaughter,1.64,6.77,3.82,1.07,3.39,3.46,3.14,3.46
slave,1.84,6.21,3.29,1.18,3.61,3.86,2.61,2.93
sleep,7.2,2.8,5.41,4,1.24,1.45,1.24,1.34
slime,2.68,5.36,4.17,1.25,1.39,1.18,1.39,3.46
slow,3.93,3.39,4.35,1.43,2.37,1.8,1.87,2.23
slum,2.39,4.78,3.83,1.27,2.14,3,2.33,2.8
slush,4.66,3.73,4.91,1.57,1.57,1.93,1.4,2.1
smallpox,2.52,5.58,4.29,1,2.37,2.57,3.33,3.27
smooth,6.58,4.91,5.09,3.06,1.19,1.19,1.1,1.13
snake,3.31,6.82,3.78,1.33,1.87,1.63,3.17,2.3
snob,3.36,5.65,5.11,1.13,2.97,1.68,1.61,2.61
snow,7.08,5.75,5.8,3.53,1.63,1.53,1.3,1.27
snuggle,7.92,4.16,5.66,4.07,1.2,1.33,1.13,1.07
social,6.88,4.98,5.91,3.34,1.23,1.19,1.68,1.06
soft,7.12,4.63,6,3.59,1.24,1.28,1.17,1.17
solemn,4.32,3.56,4.61,2.04,1.44,2.23,1.56,1.35
song,7.1,6.07,5.85,3.33,1.87,2,1.5,1.5
soothe,7.3,4.4,5.36,3.96,1.04,1.11,1,1
sour,3.93,5.1,4.64,1.81,1.39,1.26,1.52,1.65
space,6.78,5.14,5.2,2.55,1.03,1.31,1.48,1.21
spanking,3.55,5.41,3.91,1.58,2.32,2.23,2.32,1.68
sphere,5.33,3.88,5,1.71,1.14,1.07,1.07,1.07
spider,3.33,5.71,4.75,1.29,1.64,1.39,2.96,2.64
spirit,7,5.56,5.82,3.52,1.35,1.42,1.42,1.29
spouse,7.58,5.21,5.53,3.87,1.67,1.67,1.7,1.1
spray,5.45,4.14,5.12,1.97,1.37,1.2,1.33,1.53
spring,7.76,5.67,6.26,4.23,1.23,1.23,1.3,1.2
square,4.74,3.18,4.51,1.53,1.45,1.47,1.37,1.5
stagnant,4.15,3.93,4.71,1.27,1.78,1.81,1.54,2.25
star,7.27,5.83,4.68,3.61,1.14,1.07,1.29,1.04
startled,4.5,6.93,4.48,1.29,2.13,1.61,2.65,1.45
starving,2.39,5.61,3.63,1.21,2.11,3.07,2.39,1.93
statue,5.17,3.46,4.95,1.79,1.21,1.36,1.18,1.18
stench,2.19,4.36,4.29,1.19,1.74,1.58,1.68,3.65
stiff,4.68,4.02,4.93,1.43,1.46,1.43,1.21,1.21
stink,3,4.26,4.16,1.04,2.39,1.82,1.96,3.5
stomach,4.82,3.93,4.68,1.86,1.31,1.31,1.28,1.86
stool,4.56,4,4.98,1.43,1.24,1.21,1.21,1.58
storm,4.95,5.71,4.54,2.21,1.9,1.38,2.03,1.14
stove,4.98,4.51,5.36,1.55,1.23,1.26,1.45,1.23
street,5.22,3.39,4.81,1.52,1.24,1.28,1.76,1.31
stress,2.09,7.45,3.93,1.29,3.13,2.35,2.29,1.84
strong,7.11,5.92,6.92,3.25,1.64,1.21,1.57,1.11
stupid,2.31,4.72,2.98,1.26,2.74,1.87,1.68,1.74
subdued,4.67,2.9,4.08,1.42,1.65,1.74,1.65,1.35
success,8.29,6.11,6.89,3.94,1.26,1.42,1.84,1.16
suffocate,1.56,6.03,3.44,1.04,2.89,3.11,4.07,2.36
sugar,6.74,5.64,5.5,3.13,1.29,1.1,1.19,1.52
suicide,1.25,5.73,3.58,1.03,3.19,4.48,3.23,3.26
sun,7.55,5.04,6.16,4.03,1.2,1.1,1.37,1.1
sunlight,7.76,6.1,5.63,3.54,1.07,1.04,1.07,1.07
sunrise,7.86,5.06,5.29,4.27,1.23,1.27,1.1,1.07
sunset,7.68,4.2,5.66,3.89,1.04,1.21,1.11,1.04
surgery,2.86,6.35,2.75,1.23,1.61,2.58,3.48,2.16
surprised,7.47,7.47,6.11,3.26,1.48,1.45,1.9,1.1
suspicious,3.76,6.25,4.47,1.2,2.53,1.6,2.7,1.8
swamp,5.14,4.86,5.29,1.32,1.39,1.29,1.89,2.36
sweetheart,8.42,5.5,6.03,4.55,1.1,1.34,1.1,1.1
swift,6.46,5.39,6.29,2.23,1.26,1.23,1.32,1.13
swimmer,6.54,4.82,5.96,2.48,1.13,1.06,1.1,1.03
syphilis,1.68,5.69,3.33,1.06,2.45,2.74,3.03,4.06
table,5.22,2.92,4.47,1.25,1,1,1,1
talent,7.56,6.27,6.49,3.71,1.07,1.11,1.21,1.11
tamper,4.1,4.95,4.58,1.07,2.44,1.52,1.66,1.58
tank,5.16,4.88,4.78,1.65,2.13,1.65,2.13,1.52
taste,6.66,5.22,5.5,2.84,1.29,1.13,1.45,2
taxi,5,3.41,4.64,1.93,1.47,1.43,1.5,1.83
teacher,5.68,4.05,5.11,2.77,1.97,1.47,1.43,1.47
tease,4.84,5.87,4.67,2.23,2.67,1.97,1.57,1.53
tender,6.93,4.88,5.33,2.83,1.27,1.77,1.2,1.23
tennis,6.02,4.61,5.61,2.35,1.19,1.16,1.29,1.19
tense,3.56,6.53,5.22,1.13,2.33,1.86,2.27,1.33
termite,3.58,5.39,3.87,1.07,2.83,1.83,2.7,3.17
terrible,1.93,6.27,3.58,1.24,2.41,2.72,2.62,1.97
terrific,8.16,6.23,6.6,4.62,1.07,1.03,1.03,1.07
terrified,1.72,7.86,3.08,1.14,1.82,1.89,4.14,1.46
terrorist,1.69,7.27,2.65,1.06,3.77,2.84,2.94,3.32
thankful,6.89,4.34,5.32,3.97,1.3,1.5,1.27,1.3
theory,5.3,4.62,4.88,1.64,1.29,1.25,1.32,1.14
thermometer,4.73,3.79,4.39,1.47,1.47,1.67,1.63,1.5
thief,2.13,6.89,3.79,1.26,3.29,2.23,2.87,2.52
thorn,3.64,5.14,4.45,1.1,2.39,1.77,2.29,1.65
thought,6.39,4.83,6.02,2.67,1.97,1.97,1.87,1.73
thoughtful,7.65,5.72,5.61,3.83,1.3,1.47,1.17,1.13
thrill,8.05,8.02,6.54,3.86,1.18,1.07,2.14,1
tidy,6.3,3.98,5.49,3.2,1.4,1.3,1.31,1.23
time,5.31,4.64,4.63,1.97,1.83,1.9,2.23,1.4
timid,3.86,4.11,3.09,1.42,1.74,2.03,2.29,1.61
tobacco,3.28,4.83,4.08,1.29,1.89,1.89,1.86,3.18
tomb,2.94,4.73,3.72,1.38,1.9,2.97,2.79,1.66
tool,5.19,4.33,5.67,1.71,1.25,1.04,1.07,1.07
toothache,1.98,5.55,3.9,1.14,2.48,1.83,2.03,1.9
tornado,2.55,6.83,4.3,1.35,1.97,2.26,2.94,1.52
torture,1.56,6.1,3.33,1.07,3.55,3.52,4,3.48
tower,5.46,3.95,5.78,1.39,1.39,1.46,1.68,1.14
toxic,2.1,6.4,4.42,1.16,2.16,2,2.84,2.97
toy,7,5.11,6.09,4.04,1.04,1,1.04,1
tragedy,1.78,6.24,3.5,1.14,2.82,4,3.1,2.21
traitor,2.22,5.78,4.61,1.06,3.9,2.42,2.23,2.68
trash,2.67,4.16,5.24,1.2,1.97,1.53,1.67,3.33
trauma,2.1,6.33,2.84,1.23,2.33,3.63,3.57,2.1
travel,7.1,6.21,6.31,3.32,1.29,1.48,1.77,1.13
treasure,8.27,6.75,6.36,4.42,1.03,1.06,1.19,1.03
treat,7.36,5.62,5.78,3.64,1.14,1.18,1.07,1.07
tree,6.32,3.42,5.08,2.46,1.11,1.07,1.14,1.11
triumph,7.8,5.78,6.98,4.13,1.5,1.27,1.43,1.3
triumphant,8.82,6.78,6.95,4.34,1.17,1.03,1.28,1.1
trophy,7.78,5.39,6.44,4.03,1.41,1.38,1.31,1.34
trouble,3.03,6.85,4.85,1.2,2.55,2.26,2.87,1.65
troubled,2.17,5.94,3.91,1.21,2.61,3.36,2.46,1.68
truck,5.47,4.84,5.33,2.14,1.45,1.17,1.21,1.31
trumpet,5.75,4.97,4.57,2.23,1.23,1.26,1.16,1.19
trunk,5.09,4.18,5.14,1.26,1.19,1.19,1.39,1.23
trust,6.68,5.3,6.61,3.67,1.73,1.57,1.73,1.37
truth,7.8,5,6.47,3.23,1.48,1.65,1.68,1.35
tumor,2.36,6.51,3.58,1.07,2.38,3.66,3.52,2.62
tune,6.93,4.71,5.74,2.71,1.16,1.26,1.1,1.13
twilight,7.23,4.7,5.59,2.42,1.26,1.61,1.68,1.26
ugly,2.43,5.38,4.26,1.17,2.21,2.79,2.17,2.86
ulcer,1.78,6.12,4.17,1.03,2.35,2.48,2.71,2.52
umbrella,5.16,3.68,5.42,2.03,1.59,1.38,1.31,1.48
unfaithful,2.05,6.2,3.02,1.13,3.97,3.4,2.9,3.99
unhappy,1.57,4.18,3.34,1.06,2.39,3.65,2.26,1.77
unit,5.59,3.75,5.11,1.73,1.23,1.23,1.2,1.03
untroubled,7.62,3.89,5.53,3.29,1.19,1.32,1.35,1.29
upset,2,5.86,4.08,1.1,3.1,3.57,2.17,1.9
urine,3.25,4.2,5.24,1.88,1.38,1.17,1.41,2.55
useful,7.14,4.26,5.93,3.07,1.33,1.17,1.2,1.13
useless,2.13,4.87,3.92,1.13,3,2.47,2.13,2.43
utensil,5.14,3.57,5.4,1.69,1.24,1.21,1.17,1.17
vacation,8.16,5.64,6.8,4.57,1.11,1.14,1.07,1.07
vagina,6.14,5.55,5.88,3.48,1.16,1.29,1.39,1.35
valentine,8.11,6.06,5.81,3.93,1.33,1.77,1.4,1.4
vampire,4.26,6.37,5.05,1.47,2.13,1.7,3.07,2.23
vandal,2.71,6.4,3.91,1.34,3.45,2.1,2.69,2.9
vanity,4.3,4.98,4.8,1.61,1.39,1.25,1.14,1.36
vehicle,6.27,4.63,5.77,2.7,1.7,1.57,2,1.3
venom,2.68,6.08,3.94,1.1,2.1,2.21,3.62,2.14
vest,5.25,3.95,5.09,1.8,1.26,1.24,1.37,1.3
victim,2.18,6.06,2.69,1.14,2.89,3.07,2.79,1.75
victory,8.32,6.63,7.26,4.57,1.14,1,1,1
vigorous,6.79,5.9,5.41,2.07,1.63,1.43,1.46,1.13
village,5.92,4.08,4.94,1.93,1.07,1.04,1.07,1
violent,2.29,6.89,5.16,1.1,3.69,3.1,3.31,2.83
violin,5.43,3.49,5.18,2.62,1.28,1.62,1.14,1.07
virgin,6.45,5.51,6.24,2.54,1.32,1.46,1.43,1.18
virtue,6.22,4.52,6.13,3.11,1.11,1.25,1.21,1.18
vision,6.62,4.66,6.02,2.84,1.48,1.19,1.32,1.06
volcano,4.84,6.33,3.25,1.29,2.06,1.61,2.71,1.35
vomit,2.06,5.75,3.58,1.14,1.83,1.72,1.79,4.24
voyage,6.25,5.55,5.18,2.45,1.16,1.32,1.84,1.1
wagon,5.37,3.98,5.05,1.87,1.13,1.13,1.23,1.26
war,2.08,7.49,4.5,1.25,3.36,3.25,3.43,2.86
warmth,7.41,3.73,5.61,3.97,1.17,1.17,1.14,1.1
wasp,3.37,5.5,3.76,1.13,2.5,1.63,2.83,2.03
waste,2.93,4.14,4.72,1.1,2.93,2.3,1.8,3.17
watch,5.78,4.1,5.37,1.86,1.24,1.48,1.59,1.55
water,6.61,4.97,5.08,2.86,1.18,1.14,1.29,1.07
waterfall,7.88,5.37,5.2,3.66,1.14,1.28,1.55,1.17
wealthy,7.7,5.8,6.77,4.03,1.43,1.63,1.5,1.4
weapon,3.97,6.03,5.19,1.38,2.79,2.1,3.79,2
weary,3.79,3.81,4,1.17,1.77,2.73,1.73,1.67
wedding,7.82,5.97,6.68,4.1,1.21,1.52,1.78,1.17
whistle,5.81,4.69,5.27,2.57,1.5,1.3,1.4,1.2
white,6.47,4.37,5.98,2.25,1.21,1.25,1.18,1.29
whore,2.3,5.85,4.61,1.45,2.34,2.55,1.62,3.48
wicked,2.96,6.09,4.36,1.1,3.03,2.1,3.27,2.5
wife,6.33,4.93,5.57,4.45,1.52,1.52,1.41,1.14
win,8.38,7.72,7.39,3.92,1.32,1.35,1.39,1.16
windmill,5.6,3.74,5.24,2.29,1.21,1.25,1.21,1.11
window,5.91,3.97,4.91,2.04,1.11,1.29,1.11,1.11
wine,5.95,4.78,5.31,3.23,1.4,1.9,1.4,1.73
wink,6.93,5.44,5.7,3.13,1.2,1.1,1.17,1.17
wise,7.52,3.91,6.7,3.03,1.35,1.29,1.16,1.23
world,6.5,5.32,5.26,2.55,1.77,1.81,1.84,1.65
wounds,2.51,5.82,3.92,1.52,2.1,2.41,2.45,2.1
writer,5.52,4.33,4.73,2.4,1.5,1.7,1.43,1.5
yacht,6.95,5.61,6.1,3.23,1.33,1.17,1.2,1.4
yellow,5.61,4.43,5.47,1.86,1.32,1.14,1.25,1.18
young,6.89,5.64,5.3,3.4,1.7,1.73,1.57,1.43
youth,6.75,5.67,5.11,3.67,1.77,1.77,1.77,1.7
zest,6.79,5.59,6,2.61,1.19,1.16,1.23,1.29
